pokemon_id,pokemon_proximas_evolucoes,pokemon_name,pokemon_altura,pokemon_peso,pokemon_tipos,pokemon_habilidades,url_pagina
0005,"[{'numero': '', 'nome': 'Charmander', 'url': 'https://pokemondb.net/pokedex/charmander'}, {'numero': '', 'nome': 'Charmeleon', 'url': 'https://pokemondb.net/pokedex/charmeleon'}, {'numero': '', 'nome': 'Charizard', 'url': 'https://pokemondb.net/pokedex/charizard'}]",Charmeleon,1.1 m (3′07″),19.0 kg (41.9 lbs),Fire,"[{'nome': 'Blaze', 'url': 'https://pokemondb.net/ability/blaze'}, {'nome': 'Solar Power', 'url': 'https://pokemondb.net/ability/solar-power'}]",https://pokemondb.net//pokedex/charmeleon
0004,"[{'numero': '', 'nome': 'Charmander', 'url': 'https://pokemondb.net/pokedex/charmander'}, {'numero': '', 'nome': 'Charmeleon', 'url': 'https://pokemondb.net/pokedex/charmeleon'}, {'numero': '', 'nome': 'Charizard', 'url': 'https://pokemondb.net/pokedex/charizard'}]",Charmander,0.6 m (2′00″),8.5 kg (18.7 lbs),"Fire,Route 24","[{'nome': 'Blaze', 'url': 'https://pokemondb.net/ability/blaze'}, {'nome': 'Solar Power', 'url': 'https://pokemondb.net/ability/solar-power'}]",https://pokemondb.net//pokedex/charmander
0071,"[{'numero': '', 'nome': 'Bellsprout', 'url': 'https://pokemondb.net/pokedex/bellsprout'}, {'numero': '', 'nome': 'Weepinbell', 'url': 'https://pokemondb.net/pokedex/weepinbell'}, {'numero': '', 'nome': 'Victreebel', 'url': 'https://pokemondb.net/pokedex/victreebel'}]",Victreebel,1.7 m (5′07″),15.5 kg (34.2 lbs),"Grass,Poison","[{'nome': 'Chlorophyll', 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'nome': 'Gluttony', 'url': 'https://pokemondb.net/ability/gluttony'}]",https://pokemondb.net//pokedex/victreebel
0009,"[{'numero': '', 'nome': 'Squirtle', 'url': 'https://pokemondb.net/pokedex/squirtle'}, {'numero': '', 'nome': 'Wartortle', 'url': 'https://pokemondb.net/pokedex/wartortle'}, {'numero': '', 'nome': 'Blastoise', 'url': 'https://pokemondb.net/pokedex/blastoise'}]",Blastoise,1.6 m (5′03″),85.5 kg (188.5 lbs),"Water,Water","[{'nome': 'Torrent', 'url': 'https://pokemondb.net/ability/torrent'}, {'nome': 'Rain Dish', 'url': 'https://pokemondb.net/ability/rain-dish'}, {'nome': 'Mega Launcher', 'url': 'https://pokemondb.net/ability/mega-launcher'}]",https://pokemondb.net//pokedex/blastoise
0008,"[{'numero': '', 'nome': 'Squirtle', 'url': 'https://pokemondb.net/pokedex/squirtle'}, {'numero': '', 'nome': 'Wartortle', 'url': 'https://pokemondb.net/pokedex/wartortle'}, {'numero': '', 'nome': 'Blastoise', 'url': 'https://pokemondb.net/pokedex/blastoise'}]",Wartortle,1.0 m (3′03″),22.5 kg (49.6 lbs),Water,"[{'nome': 'Torrent', 'url': 'https://pokemondb.net/ability/torrent'}, {'nome': 'Rain Dish', 'url': 'https://pokemondb.net/ability/rain-dish'}]",https://pokemondb.net//pokedex/wartortle
0007,"[{'numero': '', 'nome': 'Squirtle', 'url': 'https://pokemondb.net/pokedex/squirtle'}, {'numero': '', 'nome': 'Wartortle', 'url': 'https://pokemondb.net/pokedex/wartortle'}, {'numero': '', 'nome': 'Blastoise', 'url': 'https://pokemondb.net/pokedex/blastoise'}]",Squirtle,0.5 m (1′08″),9.0 kg (19.8 lbs),"Water,Vermilion City","[{'nome': 'Torrent', 'url': 'https://pokemondb.net/ability/torrent'}, {'nome': 'Rain Dish', 'url': 'https://pokemondb.net/ability/rain-dish'}]",https://pokemondb.net//pokedex/squirtle
0006,"[{'numero': '', 'nome': 'Charmander', 'url': 'https://pokemondb.net/pokedex/charmander'}, {'numero': '', 'nome': 'Charmeleon', 'url': 'https://pokemondb.net/pokedex/charmeleon'}, {'numero': '', 'nome': 'Charizard', 'url': 'https://pokemondb.net/pokedex/charizard'}]",Charizard,1.7 m (5′07″),90.5 kg (199.5 lbs),"Fire,Flying,Fire,Dragon,Fire,Flying","[{'nome': 'Blaze', 'url': 'https://pokemondb.net/ability/blaze'}, {'nome': 'Solar Power', 'url': 'https://pokemondb.net/ability/solar-power'}, {'nome': 'Tough Claws', 'url': 'https://pokemondb.net/ability/tough-claws'}, {'nome': 'Drought', 'url': 'https://pokemondb.net/ability/drought'}]",https://pokemondb.net//pokedex/charizard
0166,"[{'numero': '', 'nome': 'Ledyba', 'url': 'https://pokemondb.net/pokedex/ledyba'}, {'numero': '', 'nome': 'Ledian', 'url': 'https://pokemondb.net/pokedex/ledian'}]",Ledian,1.4 m (4′07″),35.6 kg (78.5 lbs),"Bug,Flying,Route 2","[{'nome': 'Swarm', 'url': 'https://pokemondb.net/ability/swarm'}, {'nome': 'Early Bird', 'url': 'https://pokemondb.net/ability/early-bird'}, {'nome': 'Iron Fist', 'url': 'https://pokemondb.net/ability/iron-fist'}]",https://pokemondb.net//pokedex/ledian
0165,"[{'numero': '', 'nome': 'Ledyba', 'url': 'https://pokemondb.net/pokedex/ledyba'}, {'numero': '', 'nome': 'Ledian', 'url': 'https://pokemondb.net/pokedex/ledian'}]",Ledyba,1.0 m (3′03″),10.8 kg (23.8 lbs),"Bug,Flying,Route 2,30,31,37","[{'nome': 'Swarm', 'url': 'https://pokemondb.net/ability/swarm'}, {'nome': 'Early Bird', 'url': 'https://pokemondb.net/ability/early-bird'}, {'nome': 'Rattled', 'url': 'https://pokemondb.net/ability/rattled'}]",https://pokemondb.net//pokedex/ledyba
0164,"[{'numero': '', 'nome': 'Hoothoot', 'url': 'https://pokemondb.net/pokedex/hoothoot'}, {'numero': '', 'nome': 'Noctowl', 'url': 'https://pokemondb.net/pokedex/noctowl'}]",Noctowl,1.6 m (5′03″),40.8 kg (89.9 lbs),"Normal,Flying,Route 2,5,8,11,13,14,15,25,26,27,35,37,38,39,43,Ilex Forest","[{'nome': 'Insomnia', 'url': 'https://pokemondb.net/ability/insomnia'}, {'nome': 'Keen Eye', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'nome': 'Tinted Lens', 'url': 'https://pokemondb.net/ability/tinted-lens'}]",https://pokemondb.net//pokedex/noctowl
0194,"[{'numero': '', 'nome': 'Wooper', 'url': 'https://pokemondb.net/pokedex/wooper'}, {'numero': '', 'nome': 'Quagsire', 'url': 'https://pokemondb.net/pokedex/quagsire'}, {'numero': '', 'nome': 'Wooper', 'url': 'https://pokemondb.net/pokedex/wooper'}, {'numero': '', 'nome': 'Clodsire', 'url': 'https://pokemondb.net/pokedex/clodsire'}]",Wooper,0.4 m (1′04″),8.5 kg (18.7 lbs),"Water,Ground,Poison,Ground","[{'nome': 'Damp', 'url': 'https://pokemondb.net/ability/damp'}, {'nome': 'Water Absorb', 'url': 'https://pokemondb.net/ability/water-absorb'}, {'nome': 'Unaware', 'url': 'https://pokemondb.net/ability/unaware'}, {'nome': 'Poison Point', 'url': 'https://pokemondb.net/ability/poison-point'}, {'nome': 'Water Absorb', 'url': 'https://pokemondb.net/ability/water-absorb'}, {'nome': 'Unaware', 'url': 'https://pokemondb.net/ability/unaware'}]",https://pokemondb.net//pokedex/wooper
0193,"[{'numero': '', 'nome': 'Yanma', 'url': 'https://pokemondb.net/pokedex/yanma'}, {'numero': '', 'nome': 'Yanmega', 'url': 'https://pokemondb.net/pokedex/yanmega'}]",Yanma,1.2 m (3′11″),38.0 kg (83.8 lbs),"Bug,Flying","[{'nome': 'Speed Boost', 'url': 'https://pokemondb.net/ability/speed-boost'}, {'nome': 'Compound Eyes', 'url': 'https://pokemondb.net/ability/compound-eyes'}, {'nome': 'Frisk', 'url': 'https://pokemondb.net/ability/frisk'}]",https://pokemondb.net//pokedex/yanma
0192,"[{'numero': '', 'nome': 'Sunkern', 'url': 'https://pokemondb.net/pokedex/sunkern'}, {'numero': '', 'nome': 'Sunflora', 'url': 'https://pokemondb.net/pokedex/sunflora'}]",Sunflora,0.8 m (2′07″),8.5 kg (18.7 lbs),Grass,"[{'nome': 'Chlorophyll', 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'nome': 'Solar Power', 'url': 'https://pokemondb.net/ability/solar-power'}, {'nome': 'Early Bird', 'url': 'https://pokemondb.net/ability/early-bird'}]",https://pokemondb.net//pokedex/sunflora
0146,,Moltres,2.0 m (6′07″),60.0 kg (132.3 lbs),"Fire,Flying,Dark,Flying","[{'nome': 'Pressure', 'url': 'https://pokemondb.net/ability/pressure'}, {'nome': 'Flame Body', 'url': 'https://pokemondb.net/ability/flame-body'}, {'nome': 'Berserk', 'url': 'https://pokemondb.net/ability/berserk'}]",https://pokemondb.net//pokedex/moltres
0167,"[{'numero': '', 'nome': 'Spinarak', 'url': 'https://pokemondb.net/pokedex/spinarak'}, {'numero': '', 'nome': 'Ariados', 'url': 'https://pokemondb.net/pokedex/ariados'}]",Spinarak,0.5 m (1′08″),8.5 kg (18.7 lbs),"Bug,Poison","[{'nome': 'Swarm', 'url': 'https://pokemondb.net/ability/swarm'}, {'nome': 'Insomnia', 'url': 'https://pokemondb.net/ability/insomnia'}, {'nome': 'Sniper', 'url': 'https://pokemondb.net/ability/sniper'}]",https://pokemondb.net//pokedex/spinarak
0214,,Heracross,1.5 m (4′11″),54.0 kg (119.0 lbs),"Bug,Fighting,Bug,Fighting,Route 33,42,44,Azalea Town","[{'nome': 'Swarm', 'url': 'https://pokemondb.net/ability/swarm'}, {'nome': 'Guts', 'url': 'https://pokemondb.net/ability/guts'}, {'nome': 'Moxie', 'url': 'https://pokemondb.net/ability/moxie'}, {'nome': 'Skill Link', 'url': 'https://pokemondb.net/ability/skill-link'}]",https://pokemondb.net//pokedex/heracross
0236,"[{'numero': '', 'nome': 'Tyrogue', 'url': 'https://pokemondb.net/pokedex/tyrogue'}, {'numero': '', 'nome': 'Hitmonlee', 'url': 'https://pokemondb.net/pokedex/hitmonlee'}, {'numero': '', 'nome': 'Hitmonchan', 'url': 'https://pokemondb.net/pokedex/hitmonchan'}, {'numero': '', 'nome': 'Hitmontop', 'url': 'https://pokemondb.net/pokedex/hitmontop'}]",Tyrogue,0.7 m (2′04″),21.0 kg (46.3 lbs),"Fighting,Route 34,Mt. Mortar","[{'nome': 'Guts', 'url': 'https://pokemondb.net/ability/guts'}, {'nome': 'Steadfast', 'url': 'https://pokemondb.net/ability/steadfast'}, {'nome': 'Vital Spirit', 'url': 'https://pokemondb.net/ability/vital-spirit'}]",https://pokemondb.net//pokedex/tyrogue
0235,,Smeargle,1.2 m (3′11″),58.0 kg (127.9 lbs),Normal,"[{'nome': 'Own Tempo', 'url': 'https://pokemondb.net/ability/own-tempo'}, {'nome': 'Technician', 'url': 'https://pokemondb.net/ability/technician'}, {'nome': 'Moody', 'url': 'https://pokemondb.net/ability/moody'}]",https://pokemondb.net//pokedex/smeargle
0234,"[{'numero': '', 'nome': 'Stantler', 'url': 'https://pokemondb.net/pokedex/stantler'}, {'numero': '', 'nome': 'Wyrdeer', 'url': 'https://pokemondb.net/pokedex/wyrdeer'}]",Stantler,1.4 m (4′07″),71.2 kg (157.0 lbs),"Normal,Route 37","[{'nome': 'Intimidate', 'url': 'https://pokemondb.net/ability/intimidate'}, {'nome': 'Frisk', 'url': 'https://pokemondb.net/ability/frisk'}, {'nome': 'Sap Sipper', 'url': 'https://pokemondb.net/ability/sap-sipper'}]",https://pokemondb.net//pokedex/stantler
0233,"[{'numero': '', 'nome': 'Porygon', 'url': 'https://pokemondb.net/pokedex/porygon'}, {'numero': '', 'nome': 'Porygon2', 'url': 'https://pokemondb.net/pokedex/porygon2'}, {'numero': '', 'nome': 'Porygon-Z', 'url': 'https://pokemondb.net/pokedex/porygon-z'}]",Porygon2,0.6 m (2′00″),32.5 kg (71.7 lbs),Normal,"[{'nome': 'Trace', 'url': 'https://pokemondb.net/ability/trace'}, {'nome': 'Download', 'url': 'https://pokemondb.net/ability/download'}, {'nome': 'Analytic', 'url': 'https://pokemondb.net/ability/analytic'}]",https://pokemondb.net//pokedex/porygon2
0232,"[{'numero': '', 'nome': 'Phanpy', 'url': 'https://pokemondb.net/pokedex/phanpy'}, {'numero': '', 'nome': 'Donphan', 'url': 'https://pokemondb.net/pokedex/donphan'}]",Donphan,1.1 m (3′07″),120.0 kg (264.6 lbs),"Ground,Route 28,Mt. Silver,Victory Road","[{'nome': 'Sturdy', 'url': 'https://pokemondb.net/ability/sturdy'}, {'nome': 'Sand Veil', 'url': 'https://pokemondb.net/ability/sand-veil'}]",https://pokemondb.net//pokedex/donphan
0231,"[{'numero': '', 'nome': 'Phanpy', 'url': 'https://pokemondb.net/pokedex/phanpy'}, {'numero': '', 'nome': 'Donphan', 'url': 'https://pokemondb.net/pokedex/donphan'}]",Phanpy,0.5 m (1′08″),33.5 kg (73.9 lbs),"Ground,Route 45","[{'nome': 'Pickup', 'url': 'https://pokemondb.net/ability/pickup'}, {'nome': 'Sand Veil', 'url': 'https://pokemondb.net/ability/sand-veil'}]",https://pokemondb.net//pokedex/phanpy
0284,"[{'numero': '', 'nome': 'Surskit', 'url': 'https://pokemondb.net/pokedex/surskit'}, {'numero': '', 'nome': 'Masquerain', 'url': 'https://pokemondb.net/pokedex/masquerain'}]",Masquerain,0.8 m (2′07″),3.6 kg (7.9 lbs),"Bug,Flying","[{'nome': 'Intimidate', 'url': 'https://pokemondb.net/ability/intimidate'}, {'nome': 'Unnerve', 'url': 'https://pokemondb.net/ability/unnerve'}]",https://pokemondb.net//pokedex/masquerain
0283,"[{'numero': '', 'nome': 'Surskit', 'url': 'https://pokemondb.net/pokedex/surskit'}, {'numero': '', 'nome': 'Masquerain', 'url': 'https://pokemondb.net/pokedex/masquerain'}]",Surskit,0.5 m (1′08″),1.7 kg (3.7 lbs),"Bug,Water","[{'nome': 'Swift Swim', 'url': 'https://pokemondb.net/ability/swift-swim'}, {'nome': 'Rain Dish', 'url': 'https://pokemondb.net/ability/rain-dish'}]",https://pokemondb.net//pokedex/surskit
0282,"[{'numero': '', 'nome': 'Ralts', 'url': 'https://pokemondb.net/pokedex/ralts'}, {'numero': '', 'nome': 'Kirlia', 'url': 'https://pokemondb.net/pokedex/kirlia'}, {'numero': '', 'nome': 'Gardevoir', 'url': 'https://pokemondb.net/pokedex/gardevoir'}, {'numero': '', 'nome': 'Gallade', 'url': 'https://pokemondb.net/pokedex/gallade'}]",Gardevoir,1.6 m (5′03″),48.4 kg (106.7 lbs),"Psychic,Fairy,Psychic,Fairy","[{'nome': 'Synchronize', 'url': 'https://pokemondb.net/ability/synchronize'}, {'nome': 'Trace', 'url': 'https://pokemondb.net/ability/trace'}, {'nome': 'Telepathy', 'url': 'https://pokemondb.net/ability/telepathy'}, {'nome': 'Pixilate', 'url': 'https://pokemondb.net/ability/pixilate'}]",https://pokemondb.net//pokedex/gardevoir
0281,"[{'numero': '', 'nome': 'Ralts', 'url': 'https://pokemondb.net/pokedex/ralts'}, {'numero': '', 'nome': 'Kirlia', 'url': 'https://pokemondb.net/pokedex/kirlia'}, {'numero': '', 'nome': 'Gardevoir', 'url': 'https://pokemondb.net/pokedex/gardevoir'}, {'numero': '', 'nome': 'Gallade', 'url': 'https://pokemondb.net/pokedex/gallade'}]",Kirlia,0.8 m (2′07″),20.2 kg (44.5 lbs),"Psychic,Fairy","[{'nome': 'Synchronize', 'url': 'https://pokemondb.net/ability/synchronize'}, {'nome': 'Trace', 'url': 'https://pokemondb.net/ability/trace'}, {'nome': 'Telepathy', 'url': 'https://pokemondb.net/ability/telepathy'}]",https://pokemondb.net//pokedex/kirlia
0280,"[{'numero': '', 'nome': 'Ralts', 'url': 'https://pokemondb.net/pokedex/ralts'}, {'numero': '', 'nome': 'Kirlia', 'url': 'https://pokemondb.net/pokedex/kirlia'}, {'numero': '', 'nome': 'Gardevoir', 'url': 'https://pokemondb.net/pokedex/gardevoir'}, {'numero': '', 'nome': 'Gallade', 'url': 'https://pokemondb.net/pokedex/gallade'}]",Ralts,0.4 m (1′04″),6.6 kg (14.6 lbs),"Psychic,Fairy","[{'nome': 'Synchronize', 'url': 'https://pokemondb.net/ability/synchronize'}, {'nome': 'Trace', 'url': 'https://pokemondb.net/ability/trace'}, {'nome': 'Telepathy', 'url': 'https://pokemondb.net/ability/telepathy'}]",https://pokemondb.net//pokedex/ralts
0279,"[{'numero': '', 'nome': 'Wingull', 'url': 'https://pokemondb.net/pokedex/wingull'}, {'numero': '', 'nome': 'Pelipper', 'url': 'https://pokemondb.net/pokedex/pelipper'}]",Pelipper,1.2 m (3′11″),28.0 kg (61.7 lbs),"Water,Flying","[{'nome': 'Keen Eye', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'nome': 'Drizzle', 'url': 'https://pokemondb.net/ability/drizzle'}, {'nome': 'Rain Dish', 'url': 'https://pokemondb.net/ability/rain-dish'}]",https://pokemondb.net//pokedex/pelipper
0278,"[{'numero': '', 'nome': 'Wingull', 'url': 'https://pokemondb.net/pokedex/wingull'}, {'numero': '', 'nome': 'Pelipper', 'url': 'https://pokemondb.net/pokedex/pelipper'}]",Wingull,0.6 m (2′00″),9.5 kg (20.9 lbs),"Water,Flying","[{'nome': 'Keen Eye', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'nome': 'Hydration', 'url': 'https://pokemondb.net/ability/hydration'}, {'nome': 'Rain Dish', 'url': 'https://pokemondb.net/ability/rain-dish'}]",https://pokemondb.net//pokedex/wingull
0230,"[{'numero': '', 'nome': 'Horsea', 'url': 'https://pokemondb.net/pokedex/horsea'}, {'numero': '', 'nome': 'Seadra', 'url': 'https://pokemondb.net/pokedex/seadra'}, {'numero': '', 'nome': 'Kingdra', 'url': 'https://pokemondb.net/pokedex/kingdra'}]",Kingdra,1.8 m (5′11″),152.0 kg (335.1 lbs),"Water,Dragon","[{'nome': 'Swift Swim', 'url': 'https://pokemondb.net/ability/swift-swim'}, {'nome': 'Sniper', 'url': 'https://pokemondb.net/ability/sniper'}, {'nome': 'Damp', 'url': 'https://pokemondb.net/ability/damp'}]",https://pokemondb.net//pokedex/kingdra
0305,"[{'numero': '', 'nome': 'Aron', 'url': 'https://pokemondb.net/pokedex/aron'}, {'numero': '', 'nome': 'Lairon', 'url': 'https://pokemondb.net/pokedex/lairon'}, {'numero': '', 'nome': 'Aggron', 'url': 'https://pokemondb.net/pokedex/aggron'}]",Lairon,0.9 m (2′11″),120.0 kg (264.6 lbs),"Steel,Rock","[{'nome': 'Sturdy', 'url': 'https://pokemondb.net/ability/sturdy'}, {'nome': 'Rock Head', 'url': 'https://pokemondb.net/ability/rock-head'}, {'nome': 'Heavy Metal', 'url': 'https://pokemondb.net/ability/heavy-metal'}]",https://pokemondb.net//pokedex/lairon
0327,,Spinda,1.1 m (3′07″),5.0 kg (11.0 lbs),Normal,"[{'nome': 'Own Tempo', 'url': 'https://pokemondb.net/ability/own-tempo'}, {'nome': 'Tangled Feet', 'url': 'https://pokemondb.net/ability/tangled-feet'}, {'nome': 'Contrary', 'url': 'https://pokemondb.net/ability/contrary'}]",https://pokemondb.net//pokedex/spinda
0326,"[{'numero': '', 'nome': 'Spoink', 'url': 'https://pokemondb.net/pokedex/spoink'}, {'numero': '', 'nome': 'Grumpig', 'url': 'https://pokemondb.net/pokedex/grumpig'}]",Grumpig,0.9 m (2′11″),71.5 kg (157.6 lbs),Psychic,"[{'nome': 'Thick Fat', 'url': 'https://pokemondb.net/ability/thick-fat'}, {'nome': 'Own Tempo', 'url': 'https://pokemondb.net/ability/own-tempo'}, {'nome': 'Gluttony', 'url': 'https://pokemondb.net/ability/gluttony'}]",https://pokemondb.net//pokedex/grumpig
0325,"[{'numero': '', 'nome': 'Spoink', 'url': 'https://pokemondb.net/pokedex/spoink'}, {'numero': '', 'nome': 'Grumpig', 'url': 'https://pokemondb.net/pokedex/grumpig'}]",Spoink,0.7 m (2′04″),30.6 kg (67.5 lbs),Psychic,"[{'nome': 'Thick Fat', 'url': 'https://pokemondb.net/ability/thick-fat'}, {'nome': 'Own Tempo', 'url': 'https://pokemondb.net/ability/own-tempo'}, {'nome': 'Gluttony', 'url': 'https://pokemondb.net/ability/gluttony'}]",https://pokemondb.net//pokedex/spoink
0324,,Torkoal,0.5 m (1′08″),80.4 kg (177.3 lbs),Fire,"[{'nome': 'White Smoke', 'url': 'https://pokemondb.net/ability/white-smoke'}, {'nome': 'Drought', 'url': 'https://pokemondb.net/ability/drought'}, {'nome': 'Shell Armor', 'url': 'https://pokemondb.net/ability/shell-armor'}]",https://pokemondb.net//pokedex/torkoal
